screen_name,following,followers,favourites_count,verified
ElAbogadoFeroz,819,2763,54100,False
pafloru,470,315,5896,False
adrian_herasf,721,416,13773,False
Li_mcr,516,548,11387,False
The_Blue_Walker,753,2796,2583,False
goleadorazul,29,35,35,False
eMIhoOker20,1766,773,24818,False
PedroABriones1,167,13,722,False
LustyKane,289,99,551,False
francisk_su,69,174,11273,False
jfalarcon27,915,703,696,False
kylenejuve,209,200,904,False
guido_chiriboga,1322,703,1717,False
emitouuu,1367,1094,1839,False
JosueMilito97,963,1332,44599,False
byrondanielcm,115,30,136,False
iJorge7,462,291,702,False
mfaspiazuf,228,47,92,False
carlo19482,132,51,12206,False
Kathie_AR,173,12298,23886,False
jburbano82,2876,998,8036,False
omarxin,109,104,1563,False
Bln8Competencia,42,62331,650,False
jurual5,392,113,15204,False
MayCoxA,320,388,409,False
ccarrasco750,2253,13348,10843,False
franklinarriaga,583,686,45990,False
jvaleroc,836,476,13271,False
YelenaValeria_,805,528,3605,False
Vctor72314587,400,335,152202,False
DAMASIOSANTOS,1691,2038,16356,False
JaviCastroC18,975,871,36862,False
perealanr,542,387,35892,False
mayrabravopanta,205,143,3084,False
jeffosmith1211,92,87,1444,False
BhaktiOm,486,585,6,False
Rmoralesverduga,1963,12363,6648,False
jersonruiz,192,8373,4412,False
danielbailon96,1692,449,120083,False
DaniielaMilling,654,2980,520,False
DinaMacas,5,0,1,False
ruthyburgos25,188,301,1114,False
NorysVidal21,94,0,35,False
GabyJFloresM,1772,896,2823,False
GermanAnda,1464,3887,183,False
ec_marquinho,205,63,68,False
mariomashi,112,300,3346,False
Jenni13012001,645,23,9162,False
danieelaromaan_,280,445,4236,False
danielrugel77,221,232,2123,False
manusalto,52,54,64,False
ireavalos,610,666,4724,False
ma_mercedesmg,290,322,2827,False
Edga_0970,653,5987,602,False
JCMusicales,497,205,8,False
VeritoDurazno,302,418,1888,False
Farid_Delgado,168,458,662,False
faustov3la,215,365,3358,False
a_gonzabay,2841,385,21645,False
ChilanJohn,192,100,8327,False
RubenMendozaE,429,608,1430,False
flachi_87,211,383,265,False
davidaguirre1,2035,52112,5702,False
Lucabot25,610,13334,8116,False
TitoMite,193,2801,423,False
feeltheflight,1709,603,4225,False
emilioer,1728,452,11912,False
devoragat,664,910,22213,False
jeremybarreto11,164,231,2608,False
Fabrosevichay,3063,879,60165,False
DMA1969,227,75,1997,False
nathy_cont,625,5354,995,False
gersito_marquez,122,182,3771,False
Macobsa,2176,1110,400,False
BRafael23,488,508,49984,False
luceronoemi10,458,20,4159,False
PauCampozano85,163,99,1935,False
dioviga,2849,1125,12209,False
raul___Perez,1604,1172,2500,False
AInsignares,176,274,36,False
Licha628,357,379,3882,False
LitoHeleno,888,3542,41397,False
luismorenoz7,353,228,7019,False
AdrianCgp,996,2045,1403,False
angelbalont,2436,653,12966,False
caravito1,32,4,229,False
Osvy1984,529,790,13968,False
Damiangzm,568,592,2298,False
niiaamolina,885,1592,11298,False
ecu911sambo,1398,83595,8351,False
lorenacc25,225,16,2422,False
osovic12,65,32,346,False
garciabella97,964,1697,4077,False
NachiOficial,127,223,1911,False
cesariotito,1096,390,1317,False
luisquimiquimi,997,534,1818,False
cachirib,868,421,858,False
Brasil1Amanda,4267,1016,31860,False
ChinaAguilarM,700,5017,1487,False
josecarloscresp,495,43180,2924,False
LuperaRoberto,183,89,2124,False
pp_sanmiguel,256,91,232,False
edgarcino,860,357,301,False
Krnc027,972,398,2648,False
daniicole,665,1112,2536,False
lacostaccec,200,62,435,False
Maribel81046583,4,5,0,False
carlosbarrenol,1281,486,6496,False
ramirobjj,868,981,18890,False
malorena_s,3130,6766,23820,False
JLantepara,1402,402,297,False
EsteticaDarlin,74,253,2,False
Marjori19227264,109,2,18,False
CinthiaLeonR,365,828,11526,False
anillivicura,554,346,693,False
10Royer,71,533,9660,False
clubmadameec,262,236,60,False
AlejandroPuga,3971,2024,19863,False
jacquelinyela,237,422,2468,False
olvis_g,183,58,14,False
harleyab0277,961,1278,323,False
jucarsaba,548,205,1082,False
DanixaJordan,717,66,464,False
PieriDiazB,680,1758,11243,False
tomasrodri,608,446,2463,False
fredmorace,2605,1769,4620,False
jctv99,921,2952,557,False
edoba6217,2567,236,12727,False
eamayorgav,861,203,9528,False
luiguiedu1984,745,82,757,False
VeHiJarVel,355,88,705,False
gye_90,1224,199,1320,False
El_piquetero,899,914,1780,False
Bully_DeSucre,456,477,105,False
Suemelexista,855,897,1070,False
javo_gye,588,192,838,False
DanT2do,447,1570,1345,False
doctorheart00,1099,1430,28880,False
jandresfro,296,231,3396,False
gandolindo,173,96,2872,False
MariaGabyCA04,600,275,1302,False
delmar_lv,99,125,10140,False
gtorres42,1193,430,2768,False
el_vguerrero,205,199,7235,False
quimi_cindy,102,20,954,False
lerique81,333,299,13411,False
angelougs,370,1644,20386,False
Nosoyelmeme,2715,1011,4291,False
FannyManner,413,479,98,False
JennyHilll,261,122,693,False
Gladiador2111,1739,1514,12979,False
RaulSanchezMc,1682,5679,493,False
AngelaMoralesCa,60,14,53,False
AndreRomanP,866,788,4613,False
comiteesteros,0,16,0,False
javier89450040,871,2720,1625,False
carlostorresc27,424,667,192,False
luismcali,269,323,1136,False
majogavilanesa,1475,65820,167,False
Brandon02742556,1066,137,3045,False
fiore_m27,75,126,13154,False
JOrellanah,428,165,2594,False
TrendsGuayaquil,3090,20651,1,False
krlidu94,1751,645,1032,False
Kpovedas,147,59,75,False
KathQS,248,588,4977,False
SbturismoStalin,23,27,191,False
hayliscc,167,120,3940,False
belenojeda_,351,579,2256,False
kerlyyyy__7,633,1193,37017,False
Alejo_GAJM,343,89,1498,False
JosueSanchezEc,852,10168,4501,True
neurologiagye,1804,2425,7986,False
fefegj,304,215,2105,False
Walterick,443,1169,4241,False
eduvillacres,353,308,1275,False
paolajuliana17,641,252,2743,False
katterinevelez,1000,321,4323,False
Anifernandez26,263,32,737,False
julieth28gz,244,387,2738,False
pablollerena,466,835,7130,False
alvizambranon,369,150,13130,False
Yivanita,220,282,307,False
rafaellapazl,132,1453,3328,False
domeLc,924,944,2341,False
MelyJamileth,148,149,2894,False
sportbeat_,86,1414,1243,False
a_j93,1186,428,1089,False
Xavier93781658,79,7,2,False
JAHIRABUDEYE,214,123,701,False
Alexys75,308,53,139,False
NorkisGPV,493,279,1148,False
MaruPazmino,51,15,101,False
SalvadOrellana,758,175,4554,False
Jrnochi,1574,6267,87,False
NinoPoggi,1372,1182,7910,False
annuca,970,352,8375,False
willianJxd,235,309,1879,False
mcsi__,508,843,12374,False
Dierolva,332,311,3214,False
franklinjacome,44,56,489,False
Dimarvesa,806,64,90,False
fernandopincay,504,604,9922,False
jamille_vo,67,109,227,False
Gilmarmome,213,508,70,False
marielamona70,1571,3269,34371,False
Melp_Melp,132,300,555,False
GZuritaESPOL,869,4344,352,False
wanda_wonderful,379,406,10354,False
calenturosogye,694,3873,8074,False
oswaldopenacab,1734,996,427,False
luisfertriguero,321,12,238,False
carlosjavierPa,698,288,8703,False
mielesdiegol,308,259,779,False
Freddy_Bsc,2448,2641,46447,False
Jaime14662710,189,18,1983,False
MeroGrego,105,87,2015,False
Steevzs,746,714,1813,False
